school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
St. Paul Elementary,Wise County Public Schools,St. Paul Elementary Wise County Public Schools,36.908365,-82.309627,35,361,9.7,87.7,418.21,985,5855,627,3142,10609,4436804,High Poverty,Title I,10.3,2.9,1.5,0.3543123543,71,25,3,7.4,89.2,0.4778554779,0.5221445221,0.1142191142,0.8857808858
Stafford Elementary,Stafford County Public Schools,Stafford Elementary Stafford County Public Schools,38.422209,-77.403792,105,712,14.75,25.3,687.37,326,8095,237,3487,12144,8347659,Low Poverty,Non-Title I,21.4,11.9,4.8,0.2798295455,58,40,0,11.9,58.5,0.4488636364,0.5511363636,0.1306818182,0.8693181818
Stafford Middle,Stafford County Public Schools,Stafford Middle Stafford County Public Schools,38.409923,-77.397097,108,908,11.89,44,880.61,308,7616,237,3487,11647,10256652,Medium Poverty,Non-Title I,11.9,22.4,1.5,0.3495038589,49,46,3,25.4,53.2,0.5022075055,0.4977924945,0.1488423374,0.8511576626
Stafford Senior High,Stafford County Public Schools,Stafford Senior High Stafford County Public Schools,38.359758,-77.463335,537,2015,26.65,29.6,1942.54,252,8222,237,3487,12198,23695531,Low Poverty,Non-Title I,9.1,16.8,4.9,0.2812803104,33,52,3,9.8,63,0.4784085395,0.5215914605,0.1396702231,0.8603297769
Stanley Elementary,Page County Public Schools,Stanley Elementary Page County Public Schools,38.578299,-78.502867,103,350,29.43,63.2,369.19,659,7871,813,2609,11951,4412212,Medium Poverty,Title I,6.7,3.3,0,0.5459459459,63,38,0,3.3,52.25,0.5432432432,0.4567567568,0.09459459459,0.9054054054
Stanleytown Elementary,Henry County Public Schools,Stanleytown Elementary Henry County Public Schools,36.736815,-79.940009,48,227,21.15,88.6,259.34,1196,9921,346,3501,14964,3880782,High Poverty,Title I,3.6,0,0,0.6550387597,55,45,0,7.1,65.5,0.5271317829,0.4728682171,0.2248062016,0.7751937984
Staunton High,Staunton City Public Schools,Staunton High Staunton City Public Schools,38.1656,-79.053121,327,829,39.45,38,813.25,650,8092,1308,3745,13796,11220000,Medium Poverty,Non-Title I,1.6,3.2,0,0.4142857143,51,46,0,7.9,75.4,0.4845238095,0.5154761905,0.1369047619,0.8630952381
Staunton River High,Bedford County Public Schools,Staunton River High Bedford County Public Schools,37.241247,-79.622804,233,897,25.98,49,901.09,474,7889,28,3585,11976,10791299,Medium Poverty,Non-Title I,2.9,5.9,0,0.4831338411,53,46,1,20.6,61.4,0.4668117519,0.5331882481,0.1316648531,0.8683351469
Staunton River Middle,Bedford County Public Schools,Staunton River Middle Bedford County Public Schools,37.241122,-79.626439,84,602,13.95,53.1,595.78,263,7310,28,3585,11186,6664146,Medium Poverty,Non-Title I,4.2,10.4,0,0.5376884422,54,40,0,6.3,50,0.4857621441,0.5142378559,0.1323283082,0.8676716918
Stenwood Elementary,Fairfax County Public Schools,Stenwood Elementary Fairfax County Public Schools,38.884502,-77.22945,35,518,6.76,9.2,532.03,540,10369,694,6054,17657,9394094,Low Poverty,Non-Title I,2.2,0,0,0.110056926,21,77,2,2.2,86,0.5009487666,0.4990512334,0.1612903226,0.8387096774
