school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Discovery STEM Academy,Newport News City Public Schools,Discovery STEM Academy Newport News City Public Schools,36.982943,-76.403021,158,537,29.42,76.4,549.89,683,8286,1313,3686,13968,7680847,Medium Poverty,Title I,0,2.5,0,0.7724014337,36,55,0,2.5,36.5,0.4982078853,0.5017921147,0.1254480287,0.8745519713
Dogwood Elementary,Fairfax County Public Schools,Dogwood Elementary Fairfax County Public Schools,38.94265,-77.370928,173,598,28.93,82.6,668.27,1327,12088,694,6054,20163,13474498,High Poverty,Title I,5.3,0,0,0.744648318,28,72,0,10.5,48,0.496941896,0.503058104,0.1620795107,0.8379204893
Dominion High,Loudoun County Public Schools,Dominion High Loudoun County Public Schools,39.026398,-77.374047,316,1463,21.6,30.2,1481.8,522,16968,13,2246,19749,29263920,Low Poverty,Non-Title I,7.1,1.3,0.6,0.3812415655,22,72,4,13.6,64.4,0.4658553076,0.5341446924,0.1133603239,0.8866396761
Dominion Trail Elementary,Loudoun County Public Schools,Dominion Trail Elementary Loudoun County Public Schools,39.036008,-77.478757,82,581,14.11,29.6,601.51,405,16122,13,2246,18786,11299895,Low Poverty,Non-Title I,3.1,1.5,0,0.3922558923,37,63,0,4.6,71,0.4932659933,0.5067340067,0.1060606061,0.8939393939
Donald B. Dixon-Lyle R. Smith Middle,Stafford County Public Schools,Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools,38.335127,-77.418229,117,807,14.5,31.3,774.55,384,8649,237,3487,12757,9880660,Medium Poverty,Non-Title I,3.4,12.1,1.7,0.2701711491,38,57,0,15.5,60,0.4773561812,0.5226438188,0.1442542787,0.8557457213
Dorothy Hamm Middle,Arlington County Public Schools,Dorothy Hamm Middle Arlington County Public Schools,38.900299,-77.110474,42,927,4.53,14.4,919.71,13,10216,968,7589,18786,17277940,Low Poverty,Non-Title I,6.6,2.6,1.3,0.187027027,23,75,0,10.5,83.6,0.4940411701,0.5059588299,0.1362162162,0.8637837838
Douglas MacArthur Elementary,Alexandria City Public Schools,Douglas MacArthur Elementary Alexandria City Public Schools,38.815019,-77.082467,88,546,16.12,36.4,571.12,0,13037,945,4703,18684,10670943,Medium Poverty,Non-Title I,0,2.9,0,0.380952381,26,71,3,5.9,72.25,0.4391534392,0.5608465608,0.09700176367,0.9029982363
Douglas S. Freeman High,Henrico County Public Schools,Douglas S. Freeman High Henrico County Public Schools,37.601364,-77.558233,377,1851,20.37,31.1,1805.16,336,6866,89,2979,10270,18539446,Medium Poverty,Non-Title I,3.4,5,0.8,0.3548212351,29,70,0,4.2,74.6,0.5032502709,0.4967497291,0.1099674973,0.8900325027
Douglass Park Elementary,Portsmouth City Public Schools,Douglass Park Elementary Portsmouth City Public Schools,36.818315,-76.339118,207,577,35.88,100,572.06,705,7768,548,3432,12454,7124164,High Poverty,Title I,5.1,16.9,5.1,0.7100694444,38,44,3,8.5,24,0.53125,0.46875,0.07465277778,0.9253472222
Dr. Charles R. Drew Elementary,Arlington County Public Schools,Dr. Charles R. Drew Elementary Arlington County Public Schools,38.848189,-77.086801,92,389,23.65,61.1,459.8,1132,15988,968,7589,25677,11806493,Medium Poverty,Title I,10,4,4,0.5408388521,27,67,0,8,46.5,0.4481236203,0.5518763797,0.2163355408,0.7836644592
Dranesville Elementary,Fairfax County Public Schools,Dranesville Elementary Fairfax County Public Schools,38.996446,-77.387102,98,581,16.87,47.1,613.47,524,12758,694,6054,20030,12288064,Medium Poverty,Non-Title I,3.3,1.6,1.6,0.4764991896,38,63,0,3.3,57.66666667,0.4359805511,0.5640194489,0.2204213938,0.7795786062
Drewry Mason Elementary,Henry County Public Schools,Drewry Mason Elementary Henry County Public Schools,36.573383,-79.861753,66,390,16.92,88.7,411.16,1069,6646,346,3501,11562,4753678,High Poverty,Title I,3.3,0,0,0.6225490196,52,48,0,6.7,70.25,0.5073529412,0.4926470588,0.1299019608,0.8700980392
Dryden Elementary,Lee County Public Schools,Dryden Elementary Lee County Public Schools,36.779056,-82.941257,70,227,30.84,94.4,260.63,3622,6853,951,2773,14199,3700563,High Poverty,Title I,0,6.9,0,0.6892430279,50,47,0,0,78,0.4422310757,0.5577689243,0.2310756972,0.7689243028
Dublin Elementary,Pulaski County Public Schools,Dublin Elementary Pulaski County Public Schools,37.101792,-80.678427,56,387,14.47,79.1,421.1,1312,6280,251,3707,11550,4863813,Medium Poverty,Title I,9.5,4.8,0,0.4168674699,46,52,2,2.4,63.25,0.4903381643,0.5096618357,0.1301204819,0.8698795181
Dudley Elementary,Franklin County Public Schools,Dudley Elementary Franklin County Public Schools,37.079173,-79.750073,38,216,17.59,45.8,233.8,1533,8650,55,3463,13701,3203332,Medium Poverty,Non-Title I,0,0,0,0.3711790393,72,24,0,4.2,74.25,0.4454148472,0.5545851528,0.1441048035,0.8558951965
Duffield-Pattonsville Primary,Scott County Public Schools,Duffield-Pattonsville Primary Scott County Public Schools,36.711382,-82.833676,27,245,11.02,90.8,286.79,1481,6229,563,1774,10047,2881271,High Poverty,Title I,8,12,0,,68,29,0,12,73.33333333,0.4822695035,0.5177304965,0.195035461,0.804964539
Dumbarton Elementary,Henrico County Public Schools,Dumbarton Elementary Henrico County Public Schools,37.638938,-77.518568,181,609,29.72,80.3,610.12,1071,8178,89,2979,12317,7514613,Medium Poverty,Title I,0,0,0,0.7574750831,46,51,0,0,54.25,0.4734219269,0.5265780731,0.08637873754,0.9136212625
Dumfries Elementary,Prince William County Public Schools,Dumfries Elementary Prince William County Public Schools,38.568179,-77.331152,114,430,26.51,77.3,460.79,1298,10087,571,3640,15597,7186750,Medium Poverty,Title I,4.5,4.5,0,0.6809421842,41,57,0,6.8,50.5,0.4839400428,0.5160599572,0.1327623126,0.8672376874
Dungannon Elementary School,Scott County Public Schools,Dungannon Elementary School Scott County Public Schools,36.831331,-82.466162,15,70,21.43,78.3,69.89,5055,11982,563,1774,19374,1354024,Medium Poverty,Title I,16.7,16.7,0,,50,50,0,16.7,61.75,,,,
Dupont Elementary,Hopewell City Public Schools,Dupont Elementary Hopewell City Public Schools,37.295611,-77.30359,372,640,58.13,98.7,629.4,2204,7507,1157,4008,14875,9362463,High Poverty,Title I,0,5.6,0,0.6541598695,59,38,2,9.3,29.5,0.4942903752,0.5057096248,0.1827079935,0.8172920065
E. Wilson Morrison Elementary,Warren County Public Schools,E. Wilson Morrison Elementary Warren County Public Schools,38.919729,-78.192655,133,431,30.86,90.9,469.13,861,8633,45,2983,12522,5874488,High Poverty,Title I,19.6,6.5,0,0.6234309623,62,36,0,8.7,56.75,0.4205020921,0.5794979079,0.1255230126,0.8744769874
E.B. Stanley Middle,Washington County Public Schools,E.B. Stanley Middle Washington County Public Schools,36.724214,-81.953897,152,640,23.75,46.7,646.47,317,7124,656,3308,11405,7373071,Medium Poverty,Non-Title I,2.4,1.2,0,0.425304878,44,53,2,1.2,75.8,0.4817073171,0.5182926829,0.1615853659,0.8384146341
E.H. Marsteller Middle,Prince William County Public Schools,E.H. Marsteller Middle Prince William County Public Schools,38.736993,-77.581926,155,1216,12.75,17.9,1206.06,535,9158,571,3640,13904,16768998,Low Poverty,Non-Title I,2.3,1.1,0,0.20316403,37,62,1,2.3,76.2,0.4962531224,0.5037468776,0.126561199,0.873438801
Eagle Ridge Middle,Loudoun County Public Schools,Eagle Ridge Middle Loudoun County Public Schools,39.015369,-77.515897,81,1186,6.83,5.7,1187.45,302,14416,13,2246,16976,20158474,Low Poverty,Non-Title I,4.6,1.9,0.9,0.08044030483,25,74,1,5.6,86.6,0.4877014419,0.5122985581,0.09652836579,0.9034716342
Eagle Rock Elementary,Botetourt County Public Schools,Eagle Rock Elementary Botetourt County Public Schools,37.656433,-79.811325,14,109,12.84,60.5,125.35,982,10921,145,2883,14932,1871739,Medium Poverty,Title I,0,0,0,0.4921875,41,53,0,6.3,83.5,0.5546875,0.4453125,0.1875,0.8125
Eagle View Elementary,Fairfax County Public Schools,Eagle View Elementary Fairfax County Public Schools,38.851349,-77.362758,102,539,18.92,28.2,592.1,576,13140,694,6054,20465,12117138,Low Poverty,Non-Title I,4.8,0,0,0.3288590604,18,80,2,9.7,66.33333333,0.4815436242,0.5184563758,0.1963087248,0.8036912752
East Rockingham High,Rockingham County Public Schools,East Rockingham High Rockingham County Public Schools,38.399363,-78.653725,311,744,41.8,35.2,741.59,536,6955,327,4159,11976,8881301,Medium Poverty,Non-Title I,3.3,5,3.3,0.4402102497,49,48,2,5,84,0.5256241787,0.4743758213,0.1195795007,0.8804204993
East Salem Elementary,Salem City Public Schools,East Salem Elementary Salem City Public Schools,37.28814,-80.067762,73,379,19.26,56,444.73,1767,8195,511,3657,14130,6284049,Medium Poverty,Title I,7.5,5,5,0.5514874142,44,53,0,10,70,0.4965675057,0.5034324943,0.2173913043,0.7826086957
Eastern Montgomery Elementary,Montgomery County Public Schools,Eastern Montgomery Elementary Montgomery County Public Schools,37.198871,-80.232779,64,352,18.18,70.3,394.37,1140,10226,175,3854,15395,6071210,Medium Poverty,Title I,0,0,0,0.6708542714,43,57,0,4.1,48.25,0.4874371859,0.5125628141,0.1381909548,0.8618090452
Eastern Montgomery High,Montgomery County Public Schools,Eastern Montgomery High Montgomery County Public Schools,37.20453,-80.229841,78,276,28.26,54.9,281.51,396,11207,175,3854,15632,4400616,Medium Poverty,Non-Title I,4.8,0,0,0.5494880546,32,55,2,7.1,63.4,0.4846416382,0.5153583618,0.1672354949,0.8327645051
Eastern View High,Culpeper County Public Schools,Eastern View High Culpeper County Public Schools,38.476648,-77.946089,659,1532,43.02,40.6,1538.23,106,7055,745,2110,10016,15406352,Medium Poverty,Non-Title I,11.2,12.7,5.2,0.4547787043,51,38,2,11.9,72.4,0.4932649134,0.5067350866,0.07825529185,0.9217447081
Eastside High,Wise County Public Schools,Eastside High Wise County Public Schools,36.945713,-82.468614,114,373,30.56,52.7,369.64,170,8259,627,3142,12199,4509219,Medium Poverty,Non-Title I,0,0,0,0.6015625,48,48,0,2.2,85.2,0.4869791667,0.5130208333,0.1744791667,0.8255208333
Echo Lake Elementary,Henrico County Public Schools,Echo Lake Elementary Henrico County Public Schools,37.668259,-77.544437,56,523,10.71,23,538.42,530,8226,89,2979,11823,6365849,Low Poverty,Non-Title I,0,0,0,0.217877095,31,69,0,0,84,0.5009310987,0.4990689013,0.1061452514,0.8938547486
Ecoff Elementary,Chesterfield County Public Schools,Ecoff Elementary Chesterfield County Public Schools,37.360344,-77.461776,135,739,18.27,45.5,738.67,263,6124,543,4412,11343,8378393,Medium Poverty,Title I,1.8,1.8,1.8,0.4851351351,41,59,0,5.3,49,0.5135135135,0.4864864865,0.1040540541,0.8959459459
Edison High,Fairfax County Public Schools,Edison High Fairfax County Public Schools,38.783268,-77.133657,355,2202,16.12,38.1,2194.98,359,10839,694,6054,17947,39392636,Medium Poverty,Non-Title I,3,10.2,1.2,0.4101277372,21,77,2,7.2,61.4,0.4684354986,0.5315645014,0.1450729927,0.8549270073
Edward E. Drew Jr. Middle,Stafford County Public Schools,Edward E. Drew Jr. Middle Stafford County Public Schools,38.346187,-77.459562,86,640,13.44,40.8,618.74,614,10220,237,3487,14557,9007271,Medium Poverty,Non-Title I,3.7,9.3,0,0.3899371069,40,55,2,18.5,55.8,0.4779874214,0.5220125786,0.1399371069,0.8600628931
Edward G. Clymore Elementary,Augusta County Public Schools,Edward G. Clymore Elementary Augusta County Public Schools,38.246217,-78.976452,88,704,12.5,41.2,740.31,576,6629,653,3214,11072,8196548,Medium Poverty,Title I,9.8,2,2,0.4293552812,43,56,0,2,68.25,0.4938271605,0.5061728395,0.07133058985,0.9286694102
Edward W. Wyatt Middle,Greensville County Public Schools,Edward W. Wyatt Middle Greensville County Public Schools,36.715674,-77.533304,106,492,21.54,98.9,482.54,2245,5007,0,2940,10193,4918340,High Poverty,Non-Title I,0,0,0,0.7157464213,54,44,2,25.5,40.6,0.4826175869,0.5173824131,0.1513292434,0.8486707566
Edwin A. Gibson Elementary,Danville City Public Schools,Edwin A. Gibson Elementary Danville City Public Schools,36.570229,-79.401749,147,531,27.68,100,527.21,2542,7960,2233,4335,17071,8999785,High Poverty,Title I,10,6.7,3.3,0.09176029963,53,44,3,6.7,30,0.4850187266,0.5149812734,0.15917603,0.84082397
Edwin W. Chittum Elementary,Chesapeake City Public Schools,Edwin W. Chittum Elementary Chesapeake City Public Schools,36.813292,-76.40843,79,747,10.58,25.9,761.04,967,8359,228,3266,12821,9756974,Low Poverty,Non-Title I,3.4,0,0,0.2134387352,43,55,0,5.2,87.25,0.4519104084,0.5480895916,0.208168643,0.791831357
Elephant's Fork Elementary,Suffolk City Public Schools,Elephant's Fork Elementary Suffolk City Public Schools,36.766417,-76.58894,144,523,27.53,92,553.01,1416,6387,579,4378,12760,7056132,High Poverty,Title I,0,4.7,0,0.4350282486,35,59,0,0,52.25,0.5028248588,0.4971751412,0.1092278719,0.8907721281
Elizabeth D. Redd Elementary,Richmond City Public Schools,Elizabeth D. Redd Elementary Richmond City Public Schools,37.516842,-77.502734,95,388,24.48,100,384.86,585,10063,3624,5962,20234,7787219,,,,,,0.5958005249,10,86,3,0,36.5,0.498687664,0.501312336,0.08398950131,0.9160104987
Elizabeth Davis Middle,Chesterfield County Public Schools,Elizabeth Davis Middle Chesterfield County Public Schools,37.33565,-77.342249,289,1279,22.6,38,1275.26,65,7098,543,4412,12118,15453510,Medium Poverty,Non-Title I,10.4,8.5,2.8,0.3779342723,50,48,1,11.3,65.8,0.4851330203,0.5148669797,0.1408450704,0.8591549296
Elizabeth Holladay Elementary,Henrico County Public Schools,Elizabeth Holladay Elementary Henrico County Public Schools,37.619604,-77.489869,126,603,20.9,82.3,782.41,1957,7626,89,2979,12651,9897889,High Poverty,Title I,0,0,0,0.6606683805,31,65,0,3.8,47.5,0.4460154242,0.5539845758,0.08740359897,0.912596401
Elizabeth Scott Elementary,Chesterfield County Public Schools,Elizabeth Scott Elementary Chesterfield County Public Schools,37.339362,-77.339877,91,794,11.46,50.6,794.7,288,6420,543,4412,11662,9268046,Medium Poverty,Title I,10.1,4.3,1.4,0.4821882952,54,45,0,11.6,72.75,0.4529262087,0.5470737913,0.09160305344,0.9083969466
Elizabeth Vaughan Elementary,Prince William County Public Schools,Elizabeth Vaughan Elementary Prince William County Public Schools,38.651893,-77.278861,134,522,25.67,80.1,552.52,1418,10218,571,3640,15847,8755765,Medium Poverty,Title I,11.1,3.7,1.9,0.8263254113,42,54,2,3.7,51.75,0.4771480804,0.5228519196,0.1151736746,0.8848263254
Elk Knob Elementary,Lee County Public Schools,Elk Knob Elementary Lee County Public Schools,36.730259,-82.99273,75,252,29.76,94.5,288.67,3002,7234,951,2773,13960,4029788,High Poverty,Title I,0,0,0,0.6206896552,63,37,0,0,52,0.4636678201,0.5363321799,0.1724137931,0.8275862069
Elko Middle,Henrico County Public Schools,Elko Middle Henrico County Public Schools,37.504024,-77.232758,202,743,27.19,62.9,732.64,534,8394,89,2979,11995,8788034,Medium Poverty,Non-Title I,1.5,1.5,0,0.670781893,54,37,3,20,36,0.5006858711,0.4993141289,0.2167352538,0.7832647462
Elkton Elementary,Rockingham County Public Schools,Elkton Elementary Rockingham County Public Schools,38.410766,-78.622583,17,256,6.64,44.4,279.37,1409,9578,327,4159,15473,4322636,Medium Poverty,Title I,7.4,3.7,0,0.5964285714,32,68,0,0,55.25,0.4892857143,0.5107142857,0.125,0.875
Elkton Middle,Rockingham County Public Schools,Elkton Middle Rockingham County Public Schools,38.404228,-78.608649,178,596,29.87,43.7,593.72,491,6951,327,4159,11927,7081028,Medium Poverty,Non-Title I,10.4,12.5,4.2,0.478920742,48,50,0,8.3,56,0.4620573356,0.5379426644,0.1146711636,0.8853288364
Elmont Elementary,Hanover County Public Schools,Elmont Elementary Hanover County Public Schools,37.714359,-77.5078,37,353,10.48,46.6,375.36,2097,11203,66,2256,15622,5864041,Medium Poverty,Title I,2.8,0,0,0.4146341463,30,68,0,0,73.75,0.4281842818,0.5718157182,0.1680216802,0.8319783198
Elon Elementary,Amherst County Public Schools,Elon Elementary Amherst County Public Schools,37.513617,-79.195647,32,348,9.2,41.2,345.82,1082,7451,329,3183,12045,4165325,Medium Poverty,Title I,6.9,0,0,0.3617647059,44,53,0,0,54.25,0.4411764706,0.5588235294,0.1352941176,0.8647058824
Elydale Middle,Lee County Public Schools,Elydale Middle Lee County Public Schools,36.628413,-83.528753,20,143,13.99,94.3,141.91,2801,9416,951,2773,15941,2262190,High Poverty,Title I,14.3,14.3,7.1,0.6571428571,60,27,0,14.3,68.75,0.4357142857,0.5642857143,0.1714285714,0.8285714286
Emerald Hill Elementary,Culpeper County Public Schools,Emerald Hill Elementary Culpeper County Public Schools,38.547318,-77.977299,202,671,30.1,33,693.97,328,7420,745,2110,10603,7358338,Medium Poverty,Non-Title I,6,6,4,0.3522561863,43,53,2,6,67,0.4963609898,0.5036390102,0.1004366812,0.8995633188
Emerick Elementary,Loudoun County Public Schools,Emerick Elementary Loudoun County Public Schools,39.130402,-77.718866,22,401,5.49,19,400.79,337,18342,13,2246,20938,8391579,Low Poverty,Non-Title I,0,0,0,0.09,15,85,0,2,91.75,0.4447236181,0.5552763819,0.1075,0.8925
Enderly Heights Elementary,Buena Vista City Public Schools,Enderly Heights Elementary Buena Vista City Public Schools,37.714384,-79.364271,37,184,20.11,77.8,179.19,1645,5752,791,4037,12225,2190677,Medium Poverty,Title I,6.7,20,6.7,0.5351351351,38,63,0,0,71.25,0.4810810811,0.5189189189,0.172972973,0.827027027
Enon Elementary,Chesterfield County Public Schools,Enon Elementary Chesterfield County Public Schools,37.32918,-77.324553,110,762,14.44,33.4,758.41,252,6055,543,4412,11262,8541322,Medium Poverty,Non-Title I,3.6,0,0,0.3608521971,58,40,0,5.5,63.75,0.4607190413,0.5392809587,0.1158455393,0.8841544607
Enterprise Elementary,Prince William County Public Schools,Enterprise Elementary Prince William County Public Schools,38.651181,-77.361213,64,381,16.8,74.6,396.94,1030,10996,571,3640,16237,6445147,Medium Poverty,Title I,13.2,7.9,7.9,0.6997455471,50,43,0,2.6,65.5,0.4860050891,0.5139949109,0.1323155216,0.8676844784
Ervinton Elementary,Dickenson County Public Schools,Ervinton Elementary Dickenson County Public Schools,37.067336,-82.343513,49,114,42.98,82.1,137.61,1772,10588,608,3557,16525,2273993,High Poverty,Title I,15.8,5.3,5.3,0.4475524476,70,25,0,10.5,58,0.4545454545,0.5454545455,0.2097902098,0.7902097902
Escuela Key Elementary,Arlington County Public Schools,Escuela Key Elementary Arlington County Public Schools,38.879937,-77.122065,26,590,4.41,39.4,618.31,0,11803,968,7589,20361,12589256,Medium Poverty,Non-Title I,4.1,0,0,0.4032,25,75,0,2,64.75,0.5144230769,0.4855769231,0.0864,0.9136
Essex High,Essex County Public Schools,Essex High Essex County Public Schools,37.923972,-76.874545,182,501,36.33,60.3,494.71,153,6751,945,4730,12580,6223234,Medium Poverty,Non-Title I,2.2,8.7,0,0.6338582677,45,53,0,13,59.6,0.4980314961,0.5019685039,0.1476377953,0.8523622047
Ethel M. Gildersleeve Middle,Newport News City Public Schools,Ethel M. Gildersleeve Middle Newport News City Public Schools,37.072401,-76.500454,192,1101,17.44,76.5,1096.64,185,8546,1313,3686,13730,15057386,High Poverty,Non-Title I,2.4,9.5,1.2,0.4829178209,32,55,2,11.9,57.4,0.459759482,0.540240518,0.13388735,0.86611265
Ettrick Elementary,Chesterfield County Public Schools,Ettrick Elementary Chesterfield County Public Schools,37.237673,-77.427257,107,466,22.96,90.2,490.18,879,8338,543,4412,14172,6946661,High Poverty,Title I,12.5,0,0,0.6816326531,34,60,4,4.2,55,0.4775510204,0.5224489796,0.1285714286,0.8714285714
Eureka Elementary,Charlotte County Public Schools,Eureka Elementary Charlotte County Public Schools,37.042056,-78.551231,70,401,17.46,60.8,431.74,788,6045,957,4363,12154,5247528,,,,,,0.5578231293,,,,,73.5,0.5079365079,0.4920634921,0.07482993197,0.925170068
